*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=CHIPOTLE
*Date=12:33:07
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;55.0401;-42.6665;0;Bottom;Jumper37
2;;;48.286;-18.3718;-90;Bottom;TXT8
3;10k;THT;48.0543;-45.6207;0;Bottom;R24
4;;;60.9264;-18.3549;-90;Bottom;TXT8
5;;;24.6146;-50.6169;0;Bottom;TXT9
6;;300 mil [THT];47.0958;-66.258;180;Bottom;D11
7;;;84.8868;-39.5191;0;Bottom;Copper Fill34
8;;;71.1025;-18.0896;-90;Bottom;TXT8
9;;;48.0568;-45.7167;0;Bottom;Copper Fill26
10;;;102.667;-45.8183;0;Bottom;Copper Fill25
11;;;20.0229;-26.4577;0;Bottom;Hole11
12;220;THT;39.9152;-37.6438;60;Bottom;R34
13;;300 mil [THT];21.7847;-71.6182;-90;Bottom;D17
14;;;23.6099;-47.9004;0;Bottom;TXT9
15;;;101.835;-56.284;0;Bottom;TXT10
16;;;56.1214;-2.80199;0;Bottom;TXT9
17;;;101.777;-34.4074;0;Bottom;SW1
18;;300 mil [THT];60.7197;-66.258;180;Bottom;D10
19;;3 mm [THT];95.1986;-32.1584;0;Bottom;LED
20;;;55.2958;-11.5537;0;Bottom;Copper Fill54
21;;rca_lock;60.8197;-73.5205;90;Bottom;JP7
22;;;72.4662;-5.1021;0;Bottom;Copper Fill60
23;;rca_lock;101.503;-73.5205;90;Bottom;JP5
24;;;49.7332;-32.3309;0;Bottom;Copper Fill35
25;;;93.2744;-24.1577;0;Bottom;TXT12
26;;;73.7836;-18.2307;-90;Bottom;TXT8
27;;300 mil [THT];101.52;-66.3579;180;Bottom;D13
28;;;11.303;-69.1355;0;Bottom;Copper Fill12
29;;;91.6432;-32.9659;0;Bottom;Copper Fill45
30;;;64.5668;-34.5407;0;Bottom;Copper Fill29
31;;;53.7718;-75.9935;0;Bottom;Copper Fill4
32;;3 mm [THT];67.5922;-32.2272;0;Bottom;LED
33;;THT;64.2705;-8.68252;-90;Bottom;R10
34;;;60.8596;-34.5072;0;Bottom;SW4
