*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=ROCOTO
*Date=12:34:23
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;131.242;-29.6424;0;Bottom;Copper Fill48
2;;THT;74.5648;-32.6746;0;Bottom;S11
3;220;THT;27.1515;-50.1569;90;Bottom;R27
4;;;117.471;-71.0353;0;Bottom;TXT12
5;;;76.2762;-26.315;0;Bottom;Copper Fill54
6;;;163.474;-65.1516;0;Bottom;Copper Fill5
7;;;87.3515;-25.709;-90;Bottom;TXT8
8;;;62.8969;-48.7972;0;Bottom;TXT9
9;;THT;8.33656;-32.6746;0;Bottom;S6
10;;;173.406;-23.775;0;Bottom;Copper Fill32
11;;;56.5912;-46.635;0;Bottom;Copper Fill25
12;;;120.274;-19.3078;-90;Bottom;TXT8
13;;;74.827;-8.13972;0;Bottom;Jumper27
14;;;58.7248;-11.3544;0;Bottom;Copper Fill72
15;;;62.8142;-71.527;0;Bottom;Copper Fill8
16;;THT;73.5575;-8.16826;-90;Bottom;R9
17;;;172.16;-2.13815;0;Bottom;TXT9
18;;;61.2648;-42.0884;0;Bottom;Copper Fill35
19;;;103.53;-65.304;0;Bottom;Copper Fill2
20;;;12.446;-1.4484;0;Bottom;Copper Fill80
21;;DIP (Dual Inline) [THT];50.2085;-59.4795;0;Bottom;relay 2
22;;;120.393;-62.7546;0;Bottom;Hole14
23;;THT;59.427;-47.9446;180;Bottom;J17
24;;;156.31;-22.6875;0;Bottom;IMG4
25;;;97.6009;-61.4285;0;Bottom;NO / NC
26;;3 mm [THT];101.781;-41.5491;180;Bottom;LED25
27;;THT;14.2632;-32.6746;0;Bottom;S7
28;;;118.008;-4.6742;0;Bottom;Copper Fill77
29;;;73.5584;-65.2278;0;Bottom;Copper Fill7
30;;;50.2937;-46.2213;0;Bottom;TXT9
31;;;179.273;-54.4074;0;Bottom;Copper Fill18
32;;DIP (Dual Inline) [THT];140.201;-59.4707;0;Bottom;relay 5
33;;;127.593;-61.2733;0;Bottom;NO / NC
34;;THT;98.8331;-32.7452;0;Bottom;S12
35;;;14.4509;-8.14709;0;Bottom;Jumper29
36;;;113.106;-17.679;0;Bottom;Copper Fill58
37;;;63.5916;-51.5138;0;Bottom;TXT9
38;;;74.706;-25.619;-90;Bottom;TXT8
39;;;43.4594;-65.2278;0;Bottom;Copper Fill4
40;;;94.9987;-25.664;-90;Bottom;TXT8
41;;;44.9916;-8.16343;0;Bottom;Jumper28
42;;THT;158.17;-32.7452;0;Bottom;S16
43;;;88.0364;-4.725;0;Bottom;Copper Fill76
44;;;72.0898;-26.0457;-90;Bottom;TXT8
45;;;161.138;-9.3986;0;Bottom;Copper Fill70
46;;;26.6732;-73.336;0;Bottom;TXT12
47;;rca_lock;13.6838;-75.5054;90;Bottom;A
48;;;147.472;-66.7264;0;Bottom;Copper Fill14
49;;;62.6618;-57.2014;0;Bottom;Copper Fill11
50;220;THT;119.721;-51.8503;45;Bottom;R23
51;;;119.837;-37.3132;0;Bottom;Copper Fill40
52;;;85.4964;-44.4506;0;Bottom;Copper Fill34
